Total.C,avg.abund.ctrl,avg.abund.case,direction,smoothing.pval.BH,marginal.pval.BH,log2.FC,significance
38,0.0892711459792496,0.0125842035663658,-,1.5e-05,0.0106503583309771,-2.82658003243332,Decrease
40,2.1252897776658,0.870591628068016,-,1.5e-05,0.00562189964774658,-1.28759151051783,Decrease
42,0.452509488849374,0.160034792061984,-,1.5e-05,0.00562189964774658,-1.49956245934809,Decrease
44,0.206705834787001,0.0385779825221271,-,1.5e-05,0.0106503583309771,-2.42172950984459,Decrease
46,0.821141131934379,0.317010809701014,-,1.5e-05,0.011835270635587,-1.37309816811038,Decrease
48,4.75432673337509,2.5625169777537,-,1.5e-05,0.0106503583309771,-0.891679490446771,Decrease
50,20.7910005900191,14.184994660519,-,1.5e-05,0.0106503583309771,-0.551593583613286,Decrease
52,39.6360609506062,38.5729159710438,-,0.124396363636364,0.172801743375866,-0.0392253814268723,NS
54,29.4261135150913,40.8647423238976,+,1.5e-05,0.0106503583309771,0.473759628111693,Increase
56,1.55709293845307,2.22681481869681,+,0.03696,0.0196713720621247,0.516126531639645,Increase
58,0.139619132839694,0.189012602077885,+,0.124396363636364,0.213514727664642,0.436985770598004,NS
60,0.000868760399708218,0.000203230091728887,-,0.79817,0.213514727664642,-2.09584430908856,NS
