C,avg.abund.ctrl,avg.abund.case,direction,smoothing.pval.BH,marginal.pval.BH,log2.FC,significance
4,1.388510223,6.87637111833333,+,1e-05,0.007266123127924,2.30810961015584,Increase
6,0.423645269666667,1.384663137,+,1e-05,0.00211489056218667,1.7086063724302,Increase
10,0.580686259,5.61176804733333,+,1e-05,9.98214023065163e-05,3.27262457838601,Increase
12,7.16282136866667,38.4436369526667,+,1e-05,0.000437136473182185,2.42414495975028,Increase
14,261.358703784333,596.832439231667,+,1e-05,0.00123889463092813,1.19129474673558,Increase
16,1881.29406850772,3003.82537157533,+,1e-05,0.00169460701505235,0.675075566934411,Increase
18,3206.8208174955,2194.1902682908,-,1e-05,0.00247728950125869,-0.547455110958021,Decrease
20,837.1590544045,500.733386403467,-,1e-05,0.000143455862070216,-0.741459100518213,Decrease
22,824.747408803667,313.925635948667,-,1e-05,0.00123889463092813,-1.39352949233132,Decrease
24,546.405469051333,91.986832176,-,1e-05,7.56582921928918e-05,-2.57047266314851,Decrease
26,358.620325052,34.8638646771333,-,1e-05,6.33886485589405e-05,-3.36265284933099,Decrease
28,53.5746848193333,4.22447835,-,1e-05,6.74755850671487e-05,-3.66470634790619,Decrease
30,8.947508367,0.56190557,-,1e-05,6.74755850671487e-05,-3.99308638125093,Decrease
